,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CCDC1153,0.000142048491570701,0.132893907,0.227,0.215,1,COCH+ Fb,CCDC115
IMPAD14,0.000143185826174659,0.211907406,0.297,0.293,1,COCH+ Fb,IMPAD1
THYN13,0.000144956702906679,0.12905329,0.228,0.215,1,COCH+ Fb,THYN1
SSBP35,0.000150386641137918,0.106785615,0.235,0.218,1,COCH+ Fb,SSBP3
ERVK3-13,0.000151884636172216,0.021832899,0.142,0.18,1,COCH+ Fb,ERVK3-1
METAP22,0.000154719361892187,0.125207629,0.459,0.468,1,COCH+ Fb,METAP2
ZMIZ14,0.00015484083538185,0.146326918,0.26,0.249,1,COCH+ Fb,ZMIZ1
UBL34,0.000156966136540253,0.097328788,0.454,0.455,1,COCH+ Fb,UBL3
RASSF52,0.000157632508604094,0.040359319,0.107,0.086,1,COCH+ Fb,RASSF5
THAP121,0.000158234474547151,0.119072841,0.269,0.258,1,COCH+ Fb,THAP12
JAK25,0.000158447487761976,0.104329496,0.116,0.098,1,COCH+ Fb,JAK2
TM2D12,0.000158560539532545,0.122727011,0.311,0.305,1,COCH+ Fb,TM2D1
RBM104,0.000160871689823337,0.017019502,0.094,0.123,1,COCH+ Fb,RBM10
MEGF64,0.000161520308459759,0.142831495,0.265,0.245,1,COCH+ Fb,MEGF6
MOSMO3,0.000162543804249285,0.104181848,0.203,0.186,1,COCH+ Fb,MOSMO
GXYLT12,0.00016282181761125,0.016967965,0.087,0.116,1,COCH+ Fb,GXYLT1
SRRT5,0.000164253197146263,0.124132343,0.195,0.179,1,COCH+ Fb,SRRT
TRABD4,0.000164437615608832,0.01113257,0.131,0.167,1,COCH+ Fb,TRABD
MCMBP5,0.000164992858418466,0.017281669,0.148,0.187,1,COCH+ Fb,MCMBP
CRYZL12,0.000165326759612558,0.110217535,0.158,0.14,1,COCH+ Fb,CRYZL1
H3-3B2,0.000165882637140391,0.272160971,0.158,0.136,1,COCH+ Fb,H3-3B
PTRH25,0.000166882798301403,0.012842724,0.127,0.163,1,COCH+ Fb,PTRH2
