genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DNAJC2,0.00311602661880499,-0.034995275,0.299,0.342,1
TXNDC15,0.00317108669195788,-0.147744794,0.451,0.49,1
CDC25B,0.0031852907464854,0.0444366106759003,0.155,0.144,1
TTC39C,0.00324366814923877,0.0282547019594814,0.121,0.109,1
PXDC1,0.00327225093802543,-0.143441014,0.372,0.413,1
PDS5B,0.00337176314385943,0.029258812623973,0.337,0.336,1
MOGS,0.00344121974545018,0.0446552962629431,0.209,0.202,1
NBPF14,0.00346894622359089,0.0397303466323594,0.118,0.106,1
TNC,0.00348012479360449,0.129629507795882,0.582,0.592,1
GNPTG,0.00352415821758074,-0.045154509,0.235,0.269,1
CD68,0.0035487782900021,0.0501534433277803,0.292,0.289,1
CMTR2,0.0037445345668934,0.0466560489399942,0.117,0.106,1
UTP18,0.00377204443556851,-0.020968243,0.145,0.167,1
CDK5,0.003786321514298,0.0277722701175018,0.138,0.127,1
SIKE1,0.00380833450747992,0.0198533746389733,0.259,0.255,1
EDEM3,0.00381702171111239,-0.022349762,0.267,0.305,1
ABCB8,0.0038200395084984,0.042290618635139,0.177,0.169,1
JOSD2,0.00402129244014603,-0.073502311,0.51,0.512,1
UBE2K,0.00404523038402858,-0.049415963,0.458,0.465,1
SUMF2,0.00406325486286922,-0.045298699,0.456,0.459,1
RAB40B,0.004101725573326,-0.022873641,0.111,0.128,1
SYVN1,0.00413911972949329,-0.010134581,0.206,0.237,1
SMIM14,0.00416838431239144,-0.063779397,0.408,0.46,1
PPP4R2,0.00416987568807938,-0.091934293,0.365,0.413,1
MKNK1,0.00419484421160486,0.043823483081973,0.155,0.145,1
FAM217B,0.00420212235478355,0.0515861033958102,0.11,0.099,1
PRMT2,0.00422483157292399,-0.127369262,0.465,0.511,1
USP1,0.00423228402878177,-0.059310763,0.269,0.307,1
EIF5,0.00427583286528638,-0.052395546,0.67,0.632,1
ZNF846,0.00430164460571586,-0.028716087,0.088,0.103,1
RNF220,0.00431356456759144,0.0212968888593837,0.181,0.171,1
RYK,0.0043161304007408,0.0276254679182273,0.308,0.308,1
HGS,0.00435136294593538,0.0284446918977352,0.3,0.3,1
HOXD-AS2,0.00440189352208205,-0.060084373,0.175,0.16,1
CEP170,0.00446696624948784,-0.036347873,0.291,0.33,1
AKIP1,0.00447185935558082,0.0134786032773406,0.21,0.2,1
SCOC,0.00449056117571911,-0.025207663,0.374,0.38,1
UBB,0.00450901760094579,-0.107872944,0.952,0.905,1
COIL,0.00457520277372117,0.0320664897005682,0.175,0.166,1
RNF139,0.0046771843004408,-0.014845422,0.189,0.216,1
GPN1,0.00471420881709599,-0.015064979,0.158,0.182,1
FEM1C,0.00477152358281499,-0.034672215,0.17,0.195,1
PCMT1,0.00477729255640029,-0.08671727,0.481,0.491,1
ZNF248,0.00479900199558299,0.029160204676039,0.119,0.108,1
TM9SF4,0.00484510922369159,-0.017177647,0.216,0.246,1
YTHDF3,0.00486156067731673,0.0239766718884514,0.264,0.26,1
NIFK,0.004867777321024,-0.071008322,0.424,0.43,1
POLR2A,0.00491328079222279,0.0518355891467467,0.342,0.349,1
TMEM267,0.00492508948282224,0.0259261110939772,0.145,0.135,1
COMMD9,0.00496164681254515,0.0500139778651036,0.271,0.271,1
ARHGAP23,0.00518895337924576,0.0358054980986783,0.161,0.151,1
ZNF84,0.00519007439086483,-0.015638463,0.108,0.127,1
RRAD,0.00521095607161673,-0.034119258,0.143,0.129,1
DAP,0.00524304484705979,-0.12104171,0.498,0.535,1
MEX3D,0.00537602672798404,0.0165064445023125,0.14,0.128,1
FAM174A,0.0053810898923158,0.0258990447126078,0.23,0.226,1
