,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Otud43,1.50842412990587e-18,0.0131641048874904,0.241,0.164,3.00493170918548e-14,Fibroblast,Otud4
Gid43,1.59611772821693e-18,0.0131194986833393,0.166,0.105,3.17962612638095e-14,Fibroblast,Gid4
Papd71,1.77215983956414e-18,0.0140183222406674,0.225,0.152,3.53031961639572e-14,Fibroblast,Papd7
Mthfd2l2,1.83124680939427e-18,0.0140161865017759,0.145,0.09,3.64802676899433e-14,Fibroblast,Mthfd2l
Atp5g24,1.85591154673811e-18,0.0283564470299373,0.727,0.559,3.69716139225698e-14,Fibroblast,Atp5g2
Tesk12,1.94066816748294e-18,0.0282834139234896,0.168,0.107,3.86600505644277e-14,Fibroblast,Tesk1
Wee11,2.08849979273789e-18,0.0368122404379402,0.109,0.063,4.16050043711314e-14,Fibroblast,Wee1
Sh3rf13,2.11586299800047e-18,0.0206555154098285,0.117,0.068,4.21501067831674e-14,Fibroblast,Sh3rf1
Tufm2,2.13650634602049e-18,0.0123211288194939,0.163,0.104,4.25613429190743e-14,Fibroblast,Tufm
Anks31,2.23831240859851e-18,0.0188730429259358,0.12,0.071,4.45894214916909e-14,Fibroblast,Anks3
Rufy12,2.33091962628521e-18,0.0178582061706594,0.129,0.078,4.64342498752276e-14,Fibroblast,Rufy1
Nasp2,2.43954107368476e-18,0.012710717199087,0.569,0.427,4.85980977288741e-14,Fibroblast,Nasp
Pigq,2.55444075705315e-18,0.0155517607312937,0.106,0.061,5.08870143212558e-14,Fibroblast,Pigq
Rpia1,2.55991507124151e-18,0.0227533676688663,0.138,0.085,5.09960681342022e-14,Fibroblast,Rpia
Prkra1,3.04705286495375e-18,0.0194817157209401,0.168,0.107,6.07003401227437e-14,Fibroblast,Prkra
Ccdc582,3.18158358176618e-18,0.0136928716098201,0.143,0.088,6.33803265323641e-14,Fibroblast,Ccdc58
Elmo22,3.19195193287713e-18,0.0171938072138763,0.17,0.108,6.35868744548453e-14,Fibroblast,Elmo2
Pomgnt11,3.51407969152963e-18,0.0263392428013616,0.101,0.058,7.00039815349617e-14,Fibroblast,Pomgnt1
Ebag91,3.72395036884858e-18,0.02147611660918,0.112,0.066,7.41848152978325e-14,Fibroblast,Ebag9
Mfn22,3.80965471106845e-18,0.0199002016607587,0.133,0.081,7.58921314991947e-14,Fibroblast,Mfn2
Med161,3.8952918980941e-18,0.0374296405137233,0.106,0.061,7.75981099019326e-14,Fibroblast,Med16
G6pc31,3.97954302105048e-18,0.017069887465375,0.109,0.063,7.92764765223466e-14,Fibroblast,G6pc3
